x,y,t,polarity
118.0,6.0,24.695670001,1.0
44.0,7.0,24.695670001,0.0
72.0,5.0,24.695671,0.0
187.0,14.0,24.695671,0.0
88.0,15.0,24.695671,1.0
149.0,12.0,24.695672,0.0
79.0,52.0,24.695672,0.0
5.0,54.0,24.695673001,1.0
153.0,51.0,24.695673001,0.0
140.0,50.0,24.695673001,1.0
187.0,57.0,24.695674,1.0
141.0,58.0,24.695674,1.0
177.0,60.0,24.695675,0.0
233.0,60.0,24.695675,0.0
122.0,38.0,24.695675,1.0
122.0,37.0,24.695676001,1.0
152.0,42.0,24.695676001,1.0
130.0,46.0,24.695676001,1.0
202.0,46.0,24.695676001,0.0
53.0,86.0,24.695677,1.0
10.0,92.0,24.695677,0.0
21.0,92.0,24.695677,0.0
85.0,93.0,24.695678000999997,1.0
228.0,93.0,24.695678000999997,1.0
238.0,93.0,24.695678000999997,0.0
190.0,94.0,24.695678000999997,1.0
144.0,77.0,24.695679001,0.0
19.0,76.0,24.695679001,1.0
102.0,64.0,24.69568,1.0
226.0,68.0,24.69568,1.0
115.0,69.0,24.69568,1.0
173.0,69.0,24.69568,0.0
102.0,127.0,24.695681001,1.0
138.0,127.0,24.695681001,0.0
108.0,124.0,24.695681001,1.0
234.0,122.0,24.695682000999998,1.0
142.0,123.0,24.695682000999998,1.0
134.0,119.0,24.695683,0.0
24.0,112.0,24.695683,1.0
228.0,108.0,24.695683,1.0
81.0,110.0,24.695684001,1.0
126.0,96.0,24.695684001,0.0
126.0,98.0,24.695685000999998,0.0
55.0,137.0,24.695685000999998,0.0
162.0,137.0,24.695685000999998,1.0
190.0,137.0,24.695685000999998,0.0
190.0,140.0,24.695686,1.0
189.0,142.0,24.695686,0.0
214.0,135.0,24.695686,0.0
143.0,150.0,24.695687001,1.0
219.0,150.0,24.695687001,1.0
5.0,149.0,24.695687001,1.0
204.0,147.0,24.695688,0.0
11.0,144.0,24.695688,1.0
173.0,153.0,24.695689,1.0
153.0,152.0,24.695689,0.0
160.0,155.0,24.695689,0.0
190.0,155.0,24.695689,0.0
173.0,156.0,24.695690001,1.0
190.0,156.0,24.695690001,0.0
108.0,169.0,24.695690001,1.0
19.0,178.0,24.695691,0.0
101.0,178.0,24.695691,0.0
68.0,160.0,24.695691,0.0
232.0,160.0,24.695691,0.0
197.0,162.0,24.695692,0.0
10.0,167.0,24.695692,0.0
187.0,26.0,24.695696000999998,0.0
158.0,30.0,24.695697,1.0
28.0,29.0,24.695697,0.0
115.0,20.0,24.695698001,1.0
140.0,17.0,24.695698001,0.0
176.0,16.0,24.695698001,0.0
