x,y,t,polarity
115,45,0.200521116,True
150,37,0.200522542,False
182,108,0.200523038,False
25,87,0.200523168,True
189,26,0.200524068,True
52,164,0.200529251,True
112,47,0.200529496,True
341,78,0.200530238,True
99,20,0.200530982,False
141,44,0.200533567,True
246,8,0.200533608,False
303,82,0.200534166,True
270,71,0.200536694,True
127,52,0.200537358,True
135,59,0.200537701,True
46,38,0.200538491,True
249,14,0.200538855,False
113,20,0.200538947,False
325,124,0.200539196,True
27,90,0.20054019,True
199,0,0.200542404,True
149,112,0.200542548,True
178,89,0.20054268,True
152,33,0.200542922,False
325,108,0.200543172,False
64,15,0.200543251,True
166,41,0.200544651,False
30,123,0.200544811,True
175,86,0.200544888,True
254,22,0.200545448,True
97,55,0.200545552,False
49,58,0.200548126,True
109,23,0.200548812,False
161,112,0.200548917,False
306,67,0.200549136,True
45,141,0.200550815,False
7,105,0.200551057,True
310,19,0.200551273,True
77,129,0.200552008,False
126,11,0.200552616,False
185,97,0.200553292,True
278,77,0.20055446,True
328,58,0.200555815,True
213,37,0.200557126,False
331,61,0.200557476,False
9,191,0.200558269,False
90,89,0.200558654,False
168,111,0.200559019,True
315,148,0.200559935,True
232,28,0.200560106,False
115,67,0.200560209,False
141,29,0.200560265,True
239,87,0.200560487,True
94,124,0.200561193,True
112,61,0.200561699,True
126,38,0.200561783,True
11,69,0.200562698,False
143,43,0.200562802,True
143,45,0.200564594,True
45,109,0.200565005,False
123,13,0.200565072,False
177,24,0.200566884,False
338,61,0.20056695,False
295,103,0.200567056,True
27,101,0.200568465,True
289,113,0.200568927,False
157,57,0.200569195,False
66,126,0.200570201,True
122,45,0.200570684,True
113,24,0.200570886,True
91,91,0.200571033,False
18,54,0.200572219,False
5,200,0.200572623,True
6,163,0.200573002,True
308,67,0.20057357,True
227,28,0.20057623,False
119,118,0.200577427,True
141,26,0.200577575,False
68,16,0.200577865,True
159,103,0.200578042,True
257,89,0.200578165,False
203,25,0.200578649,False
236,13,0.200579245,False
263,13,0.200579701,False
321,143,0.200580303,False
201,14,0.200580498,False
38,19,0.200581292,False
260,87,0.200581341,False
299,16,0.200581698,True
112,84,0.200582932,True
147,113,0.200583018,True
131,48,0.200583641,False
95,59,0.200583853,True
120,39,0.200584044,False
127,112,0.200584295,True
281,108,0.200585373,False
164,90,0.200586999,True
125,62,0.20058805,False
137,56,0.20058928,False
138,126,0.200590906,False
51,7,0.200591027,False
131,115,0.20059155,True
84,56,0.200591903,True
129,58,0.20059318,False
144,52,0.200593982,False
264,18,0.200594735,False
90,88,0.200595055,False
120,19,0.200596373,True
181,22,0.20059663,False
136,121,0.20059714,False
143,24,0.20059836,False
80,82,0.20059918,True
276,67,0.200599371,True
336,109,0.200600206,True
28,93,0.200600729,True
311,81,0.200601653,True
88,89,0.200602001,True
268,86,0.200602313,True
243,62,0.200602391,True
35,76,0.20060311,True
153,45,0.200605294,False
211,87,0.200605827,False
37,60,0.200605945,True
344,67,0.200605946,False
130,35,0.200606023,True
128,60,0.200606436,False
344,68,0.20060654,False
200,14,0.20060682,False
170,101,0.200607495,True
235,2,0.2006076,False
200,26,0.20060884,False
177,112,0.20060927,False
343,91,0.200609765,False
97,69,0.200610257,False
27,99,0.200610674,True
2,111,0.200611082,False
325,38,0.200611762,False
176,13,0.200612374,False
304,56,0.200612382,True
139,34,0.20061247,True
183,7,0.200612823,True
334,58,0.200613518,False
103,109,0.20061362,True
168,30,0.200613854,True
109,49,0.20061409,True
308,1,0.200614599,True
269,72,0.200615046,True
236,29,0.200616335,False
83,89,0.200616656,False
209,38,0.200617902,False
190,4,0.200618407,True
248,59,0.200618602,True
213,4,0.200618627,False
226,10,0.200619169,False
100,30,0.200619481,False
233,23,0.200619667,False
103,65,0.200619675,False
128,68,0.200620293,False
191,90,0.200620302,True
86,76,0.200621571,False
156,102,0.200621817,True
268,11,0.200622071,False
104,66,0.200623506,True
46,10,0.200624686,False
102,54,0.200624896,True
318,157,0.200627008,False
291,10,0.200627199,False
244,71,0.200627311,True
3,228,0.200627705,True
215,2,0.200627929,True
69,176,0.200628288,False
148,25,0.200629026,True
343,77,0.200629554,True
177,85,0.200630148,True
92,64,0.20063016,True
182,5,0.200630977,False
131,111,0.20063137,True
262,10,0.200631827,False
282,50,0.200633315,False
146,41,0.200633754,True
286,17,0.200634039,False
320,36,0.200635506,False
118,72,0.200635528,False
250,0,0.200636109,False
27,91,0.20063754,True
126,15,0.200638046,True
300,128,0.200638441,True
279,34,0.200638596,False
168,87,0.200638664,True
16,43,0.200638979,False
31,121,0.20064006,False
248,25,0.200640335,False
184,95,0.200640403,True
257,87,0.200641524,True
159,19,0.200642582,True
7,43,0.200643662,True
273,49,0.200644543,True
336,165,0.20064455,True
232,83,0.200645482,False
239,5,0.20064567,True
275,97,0.200645783,False
84,47,0.200646183,True
171,109,0.200646474,True
205,18,0.200648109,False
90,56,0.200648316,False
163,40,0.200648683,False
114,68,0.200648805,False
40,112,0.20065075,True
124,117,0.200653573,True
26,70,0.200654048,True
283,55,0.200654723,False
102,70,0.200656013,True
10,105,0.200657275,True
117,56,0.200658216,False
100,40,0.200659299,True
323,111,0.200659882,False
135,110,0.200660354,True
130,37,0.200660728,False
182,109,0.200660997,True
208,23,0.200662575,False
211,22,0.200662629,False
189,22,0.200663201,True
287,71,0.200663741,False
182,105,0.200663816,True
334,83,0.200664457,False
131,59,0.200664541,False
151,23,0.20066455,True
26,0,0.200665101,True
215,13,0.200665551,False
193,2,0.200666675,True
166,15,0.200667119,True
80,68,0.200667579,False
22,77,0.200669236,True
278,76,0.200669258,True
252,84,0.200669623,True
25,2,0.20066992,True
117,82,0.200670064,False
172,37,0.200670456,False
205,14,0.200671057,True
67,157,0.200672322,False
110,64,0.200672939,True
206,18,0.200673452,False
115,80,0.200674559,True
148,122,0.200674863,False
87,65,0.200675022,True
72,154,0.200675359,False
235,82,0.200676324,False
204,77,0.200676597,True
112,49,0.200679304,False
345,88,0.200679385,True
163,37,0.200680157,True
192,90,0.200680408,True
123,54,0.20068094,True
320,121,0.200681287,False
269,44,0.200681921,False
230,19,0.200682064,False
136,59,0.200684076,True
103,75,0.200684115,False
91,92,0.200684519,False
124,54,0.200684583,True
211,7,0.200685159,False
138,49,0.200685193,True
67,16,0.200685974,True
114,107,0.200686394,True
121,64,0.200687612,False
65,92,0.20068884,False
163,48,0.20068967,True
119,40,0.20069079,False
66,17,0.200691879,True
133,31,0.200691913,False
187,46,0.200692211,False
337,167,0.200692746,False
291,86,0.200694571,False
232,15,0.200695536,False
80,83,0.200695945,True
161,20,0.200696223,False
105,40,0.200698115,True
308,107,0.200698121,True
177,22,0.200700701,False
137,4,0.200700798,False
208,36,0.200702182,False
98,80,0.200702521,True
124,0,0.200702623,False
78,69,0.200703914,False
182,34,0.20070406,False
320,120,0.200704187,False
65,134,0.200704448,False
50,16,0.200704566,False
45,90,0.200704747,True
142,41,0.200705041,False
106,73,0.20070537,False
319,58,0.200705889,True
267,82,0.200706161,True
277,76,0.200706752,True
328,85,0.200706911,True
49,16,0.200707137,False
205,36,0.200707255,False
173,108,0.20070788,True
36,75,0.200708518,True
248,70,0.200708711,True
240,87,0.200709316,True
85,64,0.200710326,False
31,82,0.200712736,True
178,92,0.200713217,False
192,29,0.200713279,False
129,62,0.200715344,True
331,165,0.20071581,True
342,90,0.200716531,False
195,92,0.200716544,False
132,119,0.200716943,True
157,24,0.200717477,True
116,67,0.200717655,False
127,35,0.200717948,False
271,101,0.200718298,False
93,62,0.200718365,False
123,81,0.200718742,False
342,17,0.200718955,True
204,87,0.200719644,False
